iter	Passed	Remaining
1068	7369	61571
1069	7380	61597
1070	7385	61573
1071	7392	61569
1072	7399	61564
1073	7406	61558
1074	7413	61551
1075	7421	61552
1076	7429	61551
1077	7436	61545
1078	7443	61544
1079	7451	61542
1080	7458	61539
1081	7466	61537
1082	7474	61539
1083	7481	61538
1084	7489	61535
1085	7497	61537
1086	7506	61546
1087	7514	61554
1088	7522	61557
1089	7532	61575
1090	7542	61592
1091	7552	61611
1092	7560	61612
1093	7568	61614
1094	7578	61628
1095	7585	61622
1096	7593	61630
1097	7603	61643
1098	7612	61652
1099	7620	61658
1100	7628	61659
1101	7638	61678
1102	7648	61696
1103	7657	61706
1104	7667	61722
1105	7677	61742
1106	7684	61731
1107	7694	61752
1108	7706	61780
1109	7716	61800
1110	7726	61815
1111	7736	61832
1112	7746	61850
1113	7758	61890
1114	7764	61872
1115	7775	61894
1116	7785	61912
1117	7790	61894
1118	7802	61923
1119	7808	61913
1120	7820	61943
1121	7833	61986
1122	7844	62010
1123	7856	62041
1124	7868	62073
1125	7879	62099
1126	7890	62121
1127	7901	62150
1128	7913	62178
1129	7924	62204
1130	7931	62194
1131	7943	62231
1132	7957	62274
1133	7967	62291
1134	7979	62325
1135	7992	62360
1136	8004	62394
1137	8016	62424
1138	8027	62448
1139	8039	62482
1140	8051	62516
1141	8064	62549
1142	8075	62575
1143	8087	62607
1144	8099	62636
1145	8111	62669
1146	8125	62712
1147	8137	62746
1148	8148	62772
1149	8163	62824
1150	8177	62867
1151	8189	62899
1152	8196	62890
1153	8209	62927
1154	8221	62963
1155	8237	63019
1156	8252	63076
1157	8268	63134
1158	8285	63199
1159	8303	63280
1160	8319	63339
1161	8332	63378
1162	8343	63399
1163	8356	63437
1164	8368	63466
1165	8378	63474
1166	8385	63473
1167	8393	63472
1168	8402	63475
1169	8410	63476
1170	8418	63475
1171	8427	63479
1172	8434	63473
1173	8442	63469
1174	8449	63461
1175	8457	63458
1176	8465	63460
1177	8472	63450
1178	8479	63437
1179	8485	63427
1180	8492	63417
1181	8499	63409
1182	8506	63400
1183	8513	63390
1184	8520	63385
1185	8527	63373
1186	8535	63370
1187	8547	63404
1188	8559	63429
1189	8600	63674
1190	8616	63728
1191	8627	63753
1192	8634	63744
1193	8642	63737
1194	8649	63732
1195	8657	63729
1196	8664	63720
1197	8671	63714
1198	8680	63714
1199	8686	63702
1200	8694	63697
1201	8702	63696
1202	8709	63687
1203	8718	63692
1204	8726	63691
1205	8734	63690
1206	8742	63692
1207	8754	63717
1208	8768	63760
1209	8782	63799
1210	8792	63815
1211	8806	63855
1212	8813	63845
1213	8822	63853
1214	8831	63856
1215	8838	63849
1216	8846	63843
1217	8854	63840
1218	8861	63830
1219	8864	63798
1220	8872	63793
1221	8880	63791
1222	8886	63775
1223	8893	63767
1224	8900	63759
1225	8907	63749
1226	8914	63740
1227	8922	63735
1228	8930	63736
1229	8940	63746
1230	8952	63775
1231	8963	63795
1232	8975	63817
1233	8988	63850
1234	8996	63849
1235	9003	63843
1236	9012	63846
1237	9020	63842
1238	9027	63836
1239	9035	63829
1240	9043	63826
1241	9050	63819
1242	9057	63810
1243	9066	63812
1244	9074	63810
1245	9080	63800
1246	9088	63793
1247	9095	63783
1248	9103	63785
1249	9111	63778
1250	9119	63776
1251	9123	63744
1252	9127	63720
1253	9134	63708
1254	9142	63707
1255	9153	63728
1256	9167	63763
1257	9185	63829
1258	9196	63850
1259	9209	63878
1260	9220	63900
1261	9234	63937
1262	9246	63962
1263	9258	63988
1264	9269	64007
1265	9282	64038
1266	9289	64027
1267	9301	64057
1268	9312	64073
1269	9326	64108
1270	9339	64144
1271	9352	64173
1272	9364	64200
1273	9372	64194
1274	9383	64210
1275	9395	64233
1276	9405	64250
1277	9421	64298
1278	9437	64348
1279	9450	64383
1280	9462	64407
1281	9473	64420
1282	9487	64462
1283	9495	64456
1284	9508	64485
1285	9527	64558
1286	9536	64559
1287	9551	64603
1288	9572	64691
1289	9590	64757
1290	9653	65118
1291	9672	65191
1292	9692	65268
1293	9712	65346
1294	9725	65374
1295	9737	65398
1296	9749	65418
1297	9762	65449
1298	9775	65478
1299	9788	65504
1300	9804	65554
1301	9820	65606
1302	9833	65632
1303	9846	65661
1304	9860	65701
1305	9872	65719
1306	9885	65746
1307	9899	65785
1308	9913	65817
1309	9924	65837
1310	9938	65870
1311	9949	65883
1312	9962	65910
1313	9970	65907
1314	9983	65939
1315	9999	65983
1316	10015	66032
1317	10028	66059
1318	10039	66076
1319	10049	66084
1320	10061	66103
1321	10071	66113
1322	10084	66139
1323	10096	66163
1324	10111	66198
1325	10117	66185
1326	10124	66173
1327	10137	66198
1328	10147	66208
1329	10160	66231
1330	10172	66255
1331	10183	66270
1332	10197	66302
1333	10209	66325
1334	10222	66351
1335	10235	66378
1336	10246	66393
1337	10258	66414
1338	10272	66447
1339	10285	66472
1340	10296	66482
1341	10309	66509
1342	10320	66529
1343	10334	66556
1344	10347	66587
1345	10360	66610
1346	10372	66632
1347	10379	66620
1348	10390	66634
1349	10401	66649
1350	10413	66668
1351	10423	66670
1352	10433	66679
1353	10444	66694
1354	10457	66716
1355	10469	66739
1356	10481	66761
1357	10493	66775
1358	10503	66783
1359	10515	66802
1360	10527	66823
1361	10540	66850
1362	10552	66867
1363	10563	66882
1364	10575	66898
1365	10587	66916
1366	10599	66939
1367	10611	66960
1368	10657	67189
1369	10669	67210
1370	10690	67283
1371	10704	67313
1372	10716	67337
1373	10729	67357
1374	10743	67390
1375	10756	67414
1376	10770	67444
1377	10783	67469
1378	10799	67515
1379	10817	67569
1380	10835	67624
1381	10852	67676
1382	10867	67708
1383	10880	67736
1384	10895	67771
1385	10904	67769
1386	10919	67805
1387	10932	67831
1388	10946	67859
1389	10961	67898
1390	10974	67924
1391	10991	67971
1392	11006	68008
1393	11018	68022
1394	11026	68015
1395	11041	68051
1396	11052	68061
1397	11066	68093
1398	11079	68113
1399	11093	68144
1400	11098	68119
1401	11112	68151
1402	11125	68170
1403	11134	68170
1404	11143	68168
1405	11152	68170
1406	11161	68168
1407	11171	68173
1408	11181	68177
1409	11191	68183
1410	11201	68184
1411	11210	68181
1412	11221	68197
1413	11235	68221
1414	11248	68248
1415	11260	68264
1416	11275	68295
1417	11286	68306
1418	11294	68299
1419	11302	68294
1420	11310	68281
1421	11318	68275
1422	11324	68259
1423	11332	68247
1424	11339	68234
1425	11347	68226
1426	11356	68225
1427	11363	68215
1428	11372	68209
1429	11383	68220
1430	11392	68220
1431	11400	68212
1432	11409	68207
1433	11416	68198
1434	11427	68209
1435	11435	68201
1436	11448	68220
1437	11461	68242
1438	11476	68276
1439	11487	68289
1440	11497	68292
1441	11506	68290
1442	11514	68278
1443	11521	68264
1444	11529	68261
1445	11538	68259
1446	11546	68251
1447	11555	68245
1448	11562	68232
1449	11569	68221
1450	11576	68205
1451	11584	68197
1452	11594	68205
1453	11602	68195
1454	11610	68184
1455	11617	68173
1456	11624	68159
1457	11632	68149
1458	11644	68166
1459	11656	68183
1460	11667	68193
1461	11709	68385
1462	11722	68403
1463	11742	68462
1464	11750	68459
1465	11758	68448
1466	11764	68431
1467	11771	68417
1468	11779	68407
1469	11796	68450
1470	11808	68465
1471	11821	68485
1472	11833	68500
1473	11846	68522
1474	11857	68534
1475	11870	68553
1476	11882	68570
1477	11894	68584
1478	11907	68603
1479	11919	68619
